Id,R,Nome,Squadra,Pg,Gf,Gs,Ass,Amm,Esp,Mv,Mf,Mv2,Mf2,Mv3,Mf3,Mv4,Mf4,Mv5,Mf5,Hmf
4302,D,SIERRALTA,Udinese,0,0,0,0,0,0,0.0,0.0,2.85,2.55,0.0,0.0,0.0,0.0,0.0,0.0,2.55
4307,D,ROMERO C.,Genoa,30,1,0,1,13,1,5.88,5.77,5.94,5.88,0.0,0.0,0.0,0.0,0.0,0.0,5.88
4322,C,PAQUETA',Milan,24,0,0,1,7,0,5.66,5.53,5.77,5.74,0.0,0.0,0.0,0.0,0.0,0.0,5.74
4323,D,ZEEGELAAR,Udinese,13,0,0,2,3,0,5.86,5.91,5.76,5.64,0.0,0.0,0.0,0.0,0.0,0.0,5.64
4324,A,OKAKA,Udinese,33,8,0,2,10,0,6.06,6.7,6.15,7.08,0.0,0.0,0.0,0.0,0.0,0.0,7.08
4325,P,JANDREI,Genoa,0,0,0,0,0,0,0.0,0.0,3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5
4327,C,OLIVA,Cagliari,11,1,0,1,1,0,6.22,6.61,3.11,3.3,0.0,0.0,0.0,0.0,0.0,0.0,3.3
4330,C,LERAGER,Genoa,21,1,0,1,5,0,5.74,5.81,5.66,5.72,0.0,0.0,0.0,0.0,0.0,0.0,5.72
4331,D,IBANEZ,Roma,9,0,0,0,2,0,6.06,5.94,3.03,2.97,0.0,0.0,0.0,0.0,0.0,0.0,2.97
4332,D,DEMIRAL,Juventus,6,1,0,1,1,0,6.25,6.83,6.27,6.72,0.0,0.0,0.0,0.0,0.0,0.0,6.72
4333,A,DESPODOV,Cagliari,0,0,0,0,0,0,0.0,0.0,2.81,2.81,0.0,0.0,0.0,0.0,0.0,0.0,2.81
4338,C,JANKOVIC,SPAL,6,0,0,0,1,0,5.25,5.25,5.62,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5
4346,A,MILLICO,Torino,11,0,0,0,0,0,5.58,5.58,2.79,2.79,0.0,0.0,0.0,0.0,0.0,0.0,2.79
4349,C,NICOLUSSI CAVIGLIA,Juventus,0,0,0,0,0,0,0.0,0.0,2.75,2.75,0.0,0.0,0.0,0.0,0.0,0.0,2.75
4351,P,BRANCOLINI,Fiorentina,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4353,C,MONTIEL,Fiorentina,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4359,A,PICCOLI,Atalanta,1,0,0,0,0,0,6.0,6.0,5.75,5.75,0.0,0.0,0.0,0.0,0.0,0.0,5.75
4362,C,BELOKO,Fiorentina,0,0,0,0,0,0,0.0,0.0,2.75,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5
4364,C,GAETANO,Napoli,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4365,D,CORBO,Bologna,2,0,0,0,1,0,5.25,5.0,2.62,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5
4366,D,ARMINI,Lazio,1,0,0,0,0,0,0.0,0.0,2.75,2.75,0.0,0.0,0.0,0.0,0.0,0.0,2.75
4368,A,JUWARA,Bologna,7,1,0,0,1,0,6.33,7.17,3.16,3.58,0.0,0.0,0.0,0.0,0.0,0.0,3.58
4370,C,PORTANOVA,Juventus,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4371,A,RASPADORI,Sassuolo,11,2,0,0,0,0,6.29,7.14,3.14,3.57,0.0,0.0,0.0,0.0,0.0,0.0,3.57
4373,D,MATEJU,Brescia,31,0,0,1,8,1,5.47,5.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4374,D,WALUKIEWICZ,Cagliari,14,0,0,0,1,0,5.64,5.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4375,D,TERZIC,Fiorentina,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4376,C,ZURKOWSKI,Fiorentina,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4377,C,CASTROVILLI,Fiorentina,33,3,0,2,10,0,6.24,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4378,D,RANIERI L,Fiorentina,3,0,0,0,0,1,5.5,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4379,A,GORI G,Fiorentina,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4380,C,BURGIO,Inter,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4381,A,GUMUS,Genoa,3,0,0,0,0,0,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4383,C,ZENNARO,Genoa,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4384,C,JAGIELLO,Genoa,11,0,0,2,0,0,6.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4385,C,LAZARO,Inter,6,0,0,1,2,0,5.83,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4386,D,SALA M,Sassuolo,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4387,A,ADORANTE,Parma,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4388,A,ADEKANYE,Lazio,11,1,0,0,1,0,6.0,6.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4389,C,ANDERSON A.,Lazio,7,0,0,0,0,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4390,C,ANDERSON D.,Lazio,5,0,0,0,1,0,5.67,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4391,D,CASASOLA,Lazio,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4392,D,RIZZO N,Genoa,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4393,C,SCHOUTEN,Bologna,19,0,0,0,6,1,5.78,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4397,D,VAVRO,Lazio,11,0,0,0,0,0,5.83,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
