Id,R,Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au,Season
2130,D,HATEBOER,Atalanta,21,5.79,5.74,0,0,0,0,0,0,0,2,0,0,2021-22
5304,P,BOER,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-22
5304,P,BOER,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
2130,D,HATEBOER,Atalanta,17,5.88,5.91,1,0,0,0,0,0,1,7,0,0,2022-23
5304,P,BOER,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
2130,D,HATEBOER,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
5502,P,ADAMONIS,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-22
5502,P,ADAMONIS,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
5502,P,ADAMONIS,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
5707,P,PIANA,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-22
5707,P,PIANA,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
5707,P,PIANA,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
5822,P,BAGNOLINI,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-22
5822,P,BAGNOLINI,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
5822,P,BAGNOLINI,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
5832,P,"LUIS MAXIMIANO",Lazio,1,4,3,0,0,0,0,0,0,0,0,1,0,2022-23
5832,P,"LUIS MAXIMIANO",Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
5841,P,SVILAR,Roma,3,6,4.83,0,3,0,0,0,0,0,1,0,0,2022-23
5841,P,SVILAR,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
5853,P,"SORRENTINO A.",Monza,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
